filename,category_x,ocr_text,detected_language,translation_en,translation_ja,translation_ur,translation_zh,status,category_y,image_path,ground_truth,notes,char_accuracy,word_accuracy
0 (1).jpg,manga,,unknown,,,,,success,manga,sample_images/manga\0 (1).jpg,,training for SVM,,
0 (2).jpg,manga,BUT DRVER MO TO BATTLE BY BH THE CROWD WILL WAIT LINT ER. WO MATTER? HOW LONG,en,,しかし、ドライバーMOはBHと戦い、群衆はリンターを待ちます。どうでもいいですか？どのぐらいの間,لیکن DRVER MO TO BATTLE By BH The Crowd WILL IT lint ER۔ کیا بات ہے؟ کتنا عرصہ,但是驾驶者莫要与 BH 作战，人群会等待林特。 WO重要吗？多长时间,success,manga,sample_images/manga\0 (2).jpg,"BUT DRIVER, IF WE'RE GOING TO SUIDO BASHI AT THIS HOUR, ISN'T IT FASTER TO GO BY TRAIN?, NO WARRIOR GOES TO BATTLE BY TRAIN SIR, AND THE CROWD WILL WAIT UNTIL YOU ARRIVE SIR, NO MATTER HOW LONG",,0.0415,0.2941
0 (3).jpg,manga,,unknown,,,,,success,manga,sample_images/manga\0 (3).jpg,,training for SVM,,
0 (4).jpg,manga,WAY BET you 6uys THOUGHT WAS RUSTY AFTER SO MANY YEACS,so,WAY BET YOU THOUGHT WAS RUSTY AFTER SO MANY YEACS,,,,success,manga,sample_images/manga\0 (4).jpg,"HMPH, BET YOU GUYS THOUGHT I WAS RUSTY AFTER SO MANY YEARS, LOOKS LIKE YOU THOUGHT WRONG, NOW, WHO'S NEXT, HEY",,0.0182,0.4211
0.jpg,manga,SHOULD I SUSPEND YOUR RIGHT TO TAKE PHOTOS NEXT?! YOU CAN NO LONGER DO INTERVIEWS!,en,,次に写真を撮る権利を一時停止したほうがいいでしょうか?!もうインタビューはできません！,کیا مجھے اگلی تصویریں لینے کا آپ کا حق معطل کر دینا چاہیے؟! اب آپ انٹرویوز نہیں کر سکتے!,接下来我是不是应该暂停你拍照的权利？！您不能再接受采访了！,success,manga,sample_images/manga\0.jpg,"YOU CAN NO LONGER TAKE INTERVIEW!, SHOULD I SUSPEND YOUR RIGHT TO TAKE PHOTOS NEXT?!",,0.0238,0.9286
15.jpeg,manga,ASNS,tl,ASNS,,,,success,manga,sample_images/manga\15.jepg,"アーサーのほうが傷ついている!!,やはり脆弱いな人間,それ息でも,",,0.0,0.0
2.jpg,manga,,unknown,,,,,success,manga,sample_images/manga\2.jpg,"月が不気味な顔に!
世界に起きた異変の
正体とは!? ,    あ… あれは,    なんだ あの
コミカルな
月は!!!",,0.0,0.0
5.jpg,manga,ie EW Hea,nl,ie EW Hea,,,,success,manga,sample_images/manga\5.jpg,"にっ！, そうだヤマト!!!, ドカン, !!!, え!?, ガチッ!!, 不知夜月, わはははは!!, ドンチャン♪, アハハハハ!!!, ドォン, だはははは!!, 惜しいな こんなに 強くて馬が 合うのに!!, コレさえ 取れたら いつか 必ず!!, 僕だって海へ!!, ねーねー 海外は どうだ!? 若い奴ら どんどん 出て来て ないか!?, !!!, おれは別格として… 今各海で ヤベェ奴らが 暴れてる らしいんだ, 南の""キッド""だろ, 若いの? そうだな""キャベンディッシュ""とか…, ってのは話題だな…, 北の""ロー""西の""ベッジ""…, キラ, キラ, キラ",,0.0,0.0
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS",en,,翌日、探偵漫画、ダイスの奇妙な死のニュースがゴッサムシティ中に響きわたる… - 解剖によって自然死以外の何も明らかにならないうちに、ポースは死亡した。ゴードン長官--フレッド・バーカーです:ダイスが受け取ったのと同じタイプYのデスノートを受け取りました。』助けてください!私たちはまだ早くありません-あなたの時計はエル・ウォーターズと長官とゴードンでなければなりません!しかし、あなたは早い--大丈夫です--警察は間違いを犯しましたか? JA はすぐに解決します。それでも、そのメモは多くの人から注目されていました!) 捨てられないとは思わなかったのは偶然でしたか... バットマン、あなたがミステリーを愛していることは知っています。でも、これは殺人です - さあ、もうすぐです - = 私にはもっと重要な任務があります) でも心配しないでください - 安全のため、今夜あなたの家は警察でいっぱいです。」なるほど、フレッド、きっと大丈夫だよ。準備を整えて、この委員長までカードを渡してください。私の。打撃,جاسوسی کامکس اگلے دن، جیسے ہی ڈائس کی عجیب موت کی خبر گونجتی ہے: گوتھم سٹی کے ذریعے۔ میں کمشنر گورڈن-- یہ فریڈ بارکر ہے: مجھے اسی قسم کا Y آف ڈیتھ نوٹ تھاٹیم ڈائس موصول ہوا ہے۔ آپ نے میری مدد کی ہے! ہم جلد نہیں ہیں- آپ کی نگرانی ضروری ہے اور گورڈن ڈبلیو! لیکن آپ کے پاس کچھ ٹھیک ہے - جے اے اب بھی کچھ لوگوں کی نظروں میں تھا! میں نے سوچا بھی نہیں تھا کہ اسے دور پھینک دیا جائے... بیٹ مین، میں جانتا ہوں کہ تم ایک راز سے محبت کرتے ہو-- لیکن یہ _مرڈر ہے-- اب آنے والا ہے-= میرے پاس مزید IM = پورٹ آؤٹ ہے! فکر کریں-محفوظ رہنے کے لیے، آج رات آپ کا گھر پولیس سے بھرا ہو گا۔ میں دیکھ رہا ہوں، فریڈ آپ ٹھیک ہو جائیں گے۔ تیار رہیں، اس کمشنر تک کارڈز۔ میرا بلوز,侦探漫画第二天，关于戴斯离奇死亡的消息传遍了哥谭市……在尸检结果显示他是自然死亡之前，戴斯就去世了。我是戈登专员——我是弗雷德·巴克：我收到了与骰子相同类型的死亡笔记。’你一定要帮帮我！我们还没到——你的手表必须是沃特斯和专员，还有戈登！但是你还早——有一些——很好——警察出问题了？一会儿就会出现，专员，还有更多人的眼睛！）这可能是巧合，我希望不能把它扔掉……蝙蝠侠，我知道你喜欢一个谜——但这是一个巧合。 _谋杀——现在开始了——=我还有更多重要的任务）是给你的！但别担心——为了安全起见，今晚你的房子里都会有警察。”我明白了，弗雷德，你会没事的。请做好准备，向这位专员发卡。我的。吹,success,manga,sample_images/manga\Screenshot_1.png,"""NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUNDS THROUGH GOTHAM CITY...""
""DICE DIED BEFORE THE VERY EYES OF THOSE 20 PEOPLE! LOOKED LIKE AN AUTOPSY MIGHT REVEAL SOMETHING—OTHER THAN DEATH FROM NATURAL CAUSES. IF IT CANNOT, THEN THIS IS MURDER...""
""STILL, THERE WAS THAT NOTE, COMMISSIONER... COULD IT HAVE BEEN A COINCIDENCE IF DICE FELLS HADN'T TOUCHED THE NOTE—AND THEN THROWN IT AWAY..."", ""BATMAN, I KNOW YOU LOVE A MYSTERY—BUT THIS COULDN'T BE MURDER—IT'S IMPOSSIBLE. COME ON, NOW—I'VE MORE IMPORTANT ASSIGNMENTS FOR YOU..."", ""BUT, TWO DAYS LATER...""
""COMMISSIONER GORDON—THIS IS FRED BARKER. I'VE RECEIVED THE SAME-TYPE OF DEATH-NOTE THAT JIM DICE DID! YOU'VE GOT TO HELP ME!"". ""CALM YOURSELF, BARKER! SOME PRACTICAL JOKER IS TAKING ADVANTAGE OF DICE—BUT DON'T WORRY—JUST TO BE SAFE, I'LL HAVE YOUR HOUSE BE FULL OF POLICE TONIGHT..."",  ""THEN, THAT EVENING...""
""WATERS AND COMMISSIONER GORDON! BUT YOU'RE EARLY—HAS SOMETHING GONE WRONG?""
""WE'RE NOT EARLY—YOUR WATCH MUST BE SLOW!—AND EVERYTHING'S FINE—THE POLICE WILL BE ALONG IN A MOMENT..."", ""AND, AS MIDNIGHT DRAWS NEAR...""
""EVERYTHING'S IN READINESS, COMMISSIONER. MY MEN ARE GUARDING EVERY ENTRANCE..."", ""SEE, FRED? YOU'RE GOING TO BE OKAY. COME ON—LET'S PLAY SOME CARDS TILL THIS HOAX BLOWS OVER.""",,0.0444,0.475
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS",en,,翌日、探偵漫画、ダイスの奇妙な死のニュースがゴッサムシティ中に響きわたる… - 解剖によって自然死以外の何も明らかにならないうちに、ポースは死亡した。ゴードン長官--フレッド・バーカーです:ダイスが受け取ったのと同じタイプYのデスノートを受け取りました。』助けてください!私たちはまだ早くありません-あなたの時計はエル・ウォーターズと長官とゴードンでなければなりません!しかし、あなたは早い--大丈夫です--警察は間違いを犯しましたか? JA はすぐに解決します。それでも、そのメモは多くの人から注目されていました!) 捨てられないとは思わなかったのは偶然でしたか... バットマン、あなたがミステリーを愛していることは知っています。でも、これは殺人です - さあ、もうすぐです - = 私にはもっと重要な任務があります) でも心配しないでください - 安全のため、今夜あなたの家は警察でいっぱいです。」なるほど、フレッド、きっと大丈夫だよ。準備を整えて、この委員長までカードを渡してください。私の。打撃,جاسوسی کامکس اگلے دن، جیسے ہی ڈائس کی عجیب موت کی خبر گونجتی ہے: گوتھم سٹی کے ذریعے۔ میں کمشنر گورڈن-- یہ فریڈ بارکر ہے: مجھے اسی قسم کا Y آف ڈیتھ نوٹ تھاٹیم ڈائس موصول ہوا ہے۔ آپ نے میری مدد کی ہے! ہم جلد نہیں ہیں- آپ کی نگرانی ضروری ہے اور گورڈن ڈبلیو! لیکن آپ کے پاس کچھ ٹھیک ہے - جے اے اب بھی کچھ لوگوں کی نظروں میں تھا! میں نے سوچا بھی نہیں تھا کہ اسے دور پھینک دیا جائے... بیٹ مین، میں جانتا ہوں کہ تم ایک راز سے محبت کرتے ہو-- لیکن یہ _مرڈر ہے-- اب آنے والا ہے-= میرے پاس مزید IM = پورٹ آؤٹ ہے! فکر کریں-محفوظ رہنے کے لیے، آج رات آپ کا گھر پولیس سے بھرا ہو گا۔ میں دیکھ رہا ہوں، فریڈ آپ ٹھیک ہو جائیں گے۔ تیار رہیں، اس کمشنر تک کارڈز۔ میرا بلوز,侦探漫画第二天，关于戴斯离奇死亡的消息传遍了哥谭市……在尸检结果显示他是自然死亡之前，戴斯就去世了。我是戈登专员——我是弗雷德·巴克：我收到了与骰子相同类型的死亡笔记。’你一定要帮帮我！我们还没到——你的手表必须是沃特斯和专员，还有戈登！但是你还早——有一些——很好——警察出问题了？一会儿就会出现，专员，还有更多人的眼睛！）这可能是巧合，我希望不能把它扔掉……蝙蝠侠，我知道你喜欢一个谜——但这是一个巧合。 _谋杀——现在开始了——=我还有更多重要的任务）是给你的！但别担心——为了安全起见，今晚你的房子里都会有警察。”我明白了，弗雷德，你会没事的。请做好准备，向这位专员发卡。我的。吹,success,stylized,sample_images/stylized\Screenshot_1.png,"LIFE IS AT THEIR HANDS- DEATH IS ON THEIR MINDS HENRY FONDA 12 ANGRY MEN, IT EXPLODES LIKE 12 STICKS OF DYNAMITE!",,0.0619,0.2105
Screenshot_1.png,manga,"DETECTIVE COMICS NEXT DAY, AS NEWS OF DICE'S STRANGE DEATH RESOUND: THROUGH GOTHAM CITY..- Poice DIED BEFORE THE VERY AN AUTOPSY HAS REVEALED NOTHING THAN DEATH FROM NATURAL CAUSES. I COMMISSIONER GORDON-- THIS IS FRED BARKER: I'VE RECEIVED THE SAME TYPE Y OF DEATH-NOTE THATIIM DICE DID.’ YOu""VE GOT HELP ME! WE'RE NOT EARLY- your WATCH MUST EL WATERS AND COMMISSIONER BE AND GORDON! BUT YOU'RE EARLY--HAS SOME- FINE--THE POLICE THING GONE WRONG? JA WILL BE ALONG IN A MOMENT. STILL, THERE WAS THAT NOTE, COMMISSIONER. EYES OF MORE THAN PEOPLE!) COULD IT HAVE BEEN A COINCIDENCE I WISH FELLS HADN'T THOUGHT CANNOT TERM THROWN IT AWAY... BATMAN, I KNOW YOU LOVE A MYSTERY-- BUT THIS BE _MURDER-- IT'S COME ON; NOW-= I'VE MORE IM= PORTANT ASSIGNMENTS) A FOR ff YOU! BUT DON'T WoRRY-JUST TO BE SAFE, LL HAVE YOUR HOUSE FULL OF POLICE TONIGHT.” iy I SEE, FRED YOU'RE GOING TO BE OKAY. COME IN READINESS, CARDS TILL THIS COMMISSIONER. MY. BLOWS",en,,翌日、探偵漫画、ダイスの奇妙な死のニュースがゴッサムシティ中に響きわたる… - 解剖によって自然死以外の何も明らかにならないうちに、ポースは死亡した。ゴードン長官--フレッド・バーカーです:ダイスが受け取ったのと同じタイプYのデスノートを受け取りました。』助けてください!私たちはまだ早くありません-あなたの時計はエル・ウォーターズと長官とゴードンでなければなりません!しかし、あなたは早い--大丈夫です--警察は間違いを犯しましたか? JA はすぐに解決します。それでも、そのメモは多くの人から注目されていました!) 捨てられないとは思わなかったのは偶然でしたか... バットマン、あなたがミステリーを愛していることは知っています。でも、これは殺人です - さあ、もうすぐです - = 私にはもっと重要な任務があります) でも心配しないでください - 安全のため、今夜あなたの家は警察でいっぱいです。」なるほど、フレッド、きっと大丈夫だよ。準備を整えて、この委員長までカードを渡してください。私の。打撃,جاسوسی کامکس اگلے دن، جیسے ہی ڈائس کی عجیب موت کی خبر گونجتی ہے: گوتھم سٹی کے ذریعے۔ میں کمشنر گورڈن-- یہ فریڈ بارکر ہے: مجھے اسی قسم کا Y آف ڈیتھ نوٹ تھاٹیم ڈائس موصول ہوا ہے۔ آپ نے میری مدد کی ہے! ہم جلد نہیں ہیں- آپ کی نگرانی ضروری ہے اور گورڈن ڈبلیو! لیکن آپ کے پاس کچھ ٹھیک ہے - جے اے اب بھی کچھ لوگوں کی نظروں میں تھا! میں نے سوچا بھی نہیں تھا کہ اسے دور پھینک دیا جائے... بیٹ مین، میں جانتا ہوں کہ تم ایک راز سے محبت کرتے ہو-- لیکن یہ _مرڈر ہے-- اب آنے والا ہے-= میرے پاس مزید IM = پورٹ آؤٹ ہے! فکر کریں-محفوظ رہنے کے لیے، آج رات آپ کا گھر پولیس سے بھرا ہو گا۔ میں دیکھ رہا ہوں، فریڈ آپ ٹھیک ہو جائیں گے۔ تیار رہیں، اس کمشنر تک کارڈز۔ میرا بلوز,侦探漫画第二天，关于戴斯离奇死亡的消息传遍了哥谭市……在尸检结果显示他是自然死亡之前，戴斯就去世了。我是戈登专员——我是弗雷德·巴克：我收到了与骰子相同类型的死亡笔记。’你一定要帮帮我！我们还没到——你的手表必须是沃特斯和专员，还有戈登！但是你还早——有一些——很好——警察出问题了？一会儿就会出现，专员，还有更多人的眼睛！）这可能是巧合，我希望不能把它扔掉……蝙蝠侠，我知道你喜欢一个谜——但这是一个巧合。 _谋杀——现在开始了——=我还有更多重要的任务）是给你的！但别担心——为了安全起见，今晚你的房子里都会有警察。”我明白了，弗雷德，你会没事的。请做好准备，向这位专员发卡。我的。吹,success,handwritten,sample_images/handwritten\Screenshot.1.png,Always,,0.0,0.0
Screenshot_10.png,manga,,unknown,,,,,success,manga,sample_images/manga\Screenshot.10.png,"コ…コロン…
その生物は
一体何だ!?

わーっ
そんな物
食べるな!!

バリッ バリッ",,0.0,0.0
Screenshot_10.png,manga,,unknown,,,,,success,stylized,sample_images/stylized\Screenshot_10.png,"コ…コロン…
その生物は
一体何だ!?

わーっ
そんな物
食べるな!!

バリッ バリッ",,0.0,0.0
Screenshot_12.png,manga,,unknown,,,,,success,manga,sample_images/manga\Screenshot.12.png,BLOOD MANIP-ULA-TION…,,0.0,0.0
Screenshot_12.png,manga,,unknown,,,,,success,stylized,sample_images/stylized\Screenshot_12.png,"آپ کی احتیاط
آپ کی سلامتی کی
ضمانت ہے",,0.0,0.0
Screenshot_2.png,manga,"DETECTIVE COMICS OF THE Y JOKER'S REVERSE BUT TWO WATCHING FIGURES HURRY! A TRICKS! WATCH NOT BEEN FOOLED BY THE JOKER'S THOSE CLOCKS CLEVER RUSE.’ ARE WRONG— ALL THEY'RE THAT ANOTHER A THE FUSS RUNNING, HE'S IN THERE REVERSED CRIME! ABOUT BACKWARDS. SOME PLACE... FIRST THE NEWS DOWN oe STORY...THEN THE GETAWAY... AND NOW: HE'LL RETURN TO STEAL GOLD! THERE THAT INVALID IN THE Wt HUNCH IS RIGHT, FOR WHEELCHAIR— HIS SHOES ARE Bam HE'S BEEN WALKING! QUICK NOW'S A OUR CHANCE PLEASE LET US WS A SWELL Net TIME You WAY OPEN PLAY INVALID, JOKER, UP THAT LOCKED WIPE THE DUST OFF YOUR SHOES.’",en,,Y ジョーカーの逆転の探偵漫画、しかし見ている二人は急いでいます！トリック！ジョーカーのあの時計の巧妙な策略に騙されないように気をつけろ。』は間違っている――他人が騒ぎを起こしているのはすべて、彼はそこで逆転の犯罪を犯しているのだ！後進について。どこかの場所...最初にニュース、ストーリー...その後逃走...そして今:彼は金を盗むために戻ってきます!車椅子の場合、その直感が無効であるという意見は正しいです。彼の靴はバムです、彼は歩いているのです！今がチャンスです。オープンまでに十分な時間を与えてください。無効なプレイ、ジョー​​カー、ロックされた靴の上のほこりを拭いてください。」,Y Joker's Revers کی جاسوسی مزاحیہ لیکن دو دیکھنے والی شخصیات جلدی کریں! ایک چالیں! دیکھو جوکر کی گھڑیوں کی چالاک چالوں سے دھوکہ نہیں کھایا گیا۔ ’غلط ہیں- وہ سب ایک اور ہنگامہ خیز چل رہے ہیں، وہ الٹے جرم میں ہے! پیچھے کی طرف کے بارے میں کچھ جگہ... پہلی خبر نیچے کی کہانی... پھر فرار... اور اب: وہ سونا چرانے کے لیے واپس آئے گا! Wt HUNCH میں وہ غلط ہے، وہیل چیئر کے لیے- اس کے جوتے بام ہیں وہ چل رہا ہے! ابھی ہمارا موقع ہے، براہِ کرم ہمیں ایک صاف ستھرا وقت آنے دیں جب آپ کھلے کھلے کھیل کو غلط، جوکر، آپ کے جوتوں کی دھول مٹانے کے لیے بند کر دیں۔,Y小丑反转的侦探漫画，但两个观看人物快点！技巧！注意不要被小丑的那些时钟聪明的诡计所愚弄。”是错误的——所有这些都是另一场大惊小怪的事情，他在那里犯下了逆转的罪行！关于向后。某个地方...首先是故事的新闻...然后是逃跑...现在：他会回来偷金子！那位残疾人的预感是对的，因为他坐轮椅——他的鞋子很糟糕，他一直在走路！现在我们的机会来了，请让我们畅享网络时光，你打开游戏，无效，小丑，上锁，擦掉鞋子上的灰尘。,success,manga,sample_images/manga\Screenshot_2.png,"But two watching figures have not been fooled by the Joker's clever ruse. Hurry! Those clocks are wrong -- they're running backwards!
Another of the Joker's reverse tricks! Watch that crowd! He's in there some place... Please let us pass! This man is ill!
That invalid in the wheelchair -- his shoes are dusty, he's been walking. He's a fake!  Batman's hunch is right, for suddenly...
Quick! Now's our chance. Now to start the Western Flier -- in reverse! It's a swell way to open up that locked gold car! Next time you play invalid, Joker, wipe the dust off your shoes!
And next time you play detective --
Another reversed crime! First the news story... then the getaway... and now he'll return to steal the gold!
What's all the fuss about down there?  ",,0.0638,0.6796
Screenshot_2.png,manga,"DETECTIVE COMICS OF THE Y JOKER'S REVERSE BUT TWO WATCHING FIGURES HURRY! A TRICKS! WATCH NOT BEEN FOOLED BY THE JOKER'S THOSE CLOCKS CLEVER RUSE.’ ARE WRONG— ALL THEY'RE THAT ANOTHER A THE FUSS RUNNING, HE'S IN THERE REVERSED CRIME! ABOUT BACKWARDS. SOME PLACE... FIRST THE NEWS DOWN oe STORY...THEN THE GETAWAY... AND NOW: HE'LL RETURN TO STEAL GOLD! THERE THAT INVALID IN THE Wt HUNCH IS RIGHT, FOR WHEELCHAIR— HIS SHOES ARE Bam HE'S BEEN WALKING! QUICK NOW'S A OUR CHANCE PLEASE LET US WS A SWELL Net TIME You WAY OPEN PLAY INVALID, JOKER, UP THAT LOCKED WIPE THE DUST OFF YOUR SHOES.’",en,,Y ジョーカーの逆転の探偵漫画、しかし見ている二人は急いでいます！トリック！ジョーカーのあの時計の巧妙な策略に騙されないように気をつけろ。』は間違っている――他人が騒ぎを起こしているのはすべて、彼はそこで逆転の犯罪を犯しているのだ！後進について。どこかの場所...最初にニュース、ストーリー...その後逃走...そして今:彼は金を盗むために戻ってきます!車椅子の場合、その直感が無効であるという意見は正しいです。彼の靴はバムです、彼は歩いているのです！今がチャンスです。オープンまでに十分な時間を与えてください。無効なプレイ、ジョー​​カー、ロックされた靴の上のほこりを拭いてください。」,Y Joker's Revers کی جاسوسی مزاحیہ لیکن دو دیکھنے والی شخصیات جلدی کریں! ایک چالیں! دیکھو جوکر کی گھڑیوں کی چالاک چالوں سے دھوکہ نہیں کھایا گیا۔ ’غلط ہیں- وہ سب ایک اور ہنگامہ خیز چل رہے ہیں، وہ الٹے جرم میں ہے! پیچھے کی طرف کے بارے میں کچھ جگہ... پہلی خبر نیچے کی کہانی... پھر فرار... اور اب: وہ سونا چرانے کے لیے واپس آئے گا! Wt HUNCH میں وہ غلط ہے، وہیل چیئر کے لیے- اس کے جوتے بام ہیں وہ چل رہا ہے! ابھی ہمارا موقع ہے، براہِ کرم ہمیں ایک صاف ستھرا وقت آنے دیں جب آپ کھلے کھلے کھیل کو غلط، جوکر، آپ کے جوتوں کی دھول مٹانے کے لیے بند کر دیں۔,Y小丑反转的侦探漫画，但两个观看人物快点！技巧！注意不要被小丑的那些时钟聪明的诡计所愚弄。”是错误的——所有这些都是另一场大惊小怪的事情，他在那里犯下了逆转的罪行！关于向后。某个地方...首先是故事的新闻...然后是逃跑...现在：他会回来偷金子！那位残疾人的预感是对的，因为他坐轮椅——他的鞋子很糟糕，他一直在走路！现在我们的机会来了，请让我们畅享网络时光，你打开游戏，无效，小丑，上锁，擦掉鞋子上的灰尘。,success,stylized,sample_images/stylized\Screenshot_2.png,,"Ineligable, only for training SVM",,
